Run,Center,ReleaseDate,FileType,FileName,FileSize,Download_path,Experiment,Title,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,BioProject,BioSample,SampleType,TaxID,ScientificName,SampleName,Submission,Organization
CRR279139,NGDC,2021-06-18,10x genomics,CRR279139.tar,13728552960,ftp://download.big.ac.cn/gsa/CRA004082/CRR279139/CRR279139.tar,CRX235975,ID-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350955,Plant sample,4530,Oryza sativa,ID-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279140,NGDC,2021-06-18,10x genomics,CRR279140.tar,11903825920,ftp://download.big.ac.cn/gsa/CRA004082/CRR279140/CRR279140.tar,CRX235975,ID-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350955,Plant sample,4530,Oryza sativa,ID-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279141,NGDC,2021-06-18,10x genomics,CRR279141.tar,10844211200,ftp://download.big.ac.cn/gsa/CRA004082/CRR279141/CRR279141.tar,CRX235975,ID-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350955,Plant sample,4530,Oryza sativa,ID-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279142,NGDC,2021-06-18,10x genomics,CRR279142.tar,11516846080,ftp://download.big.ac.cn/gsa/CRA004082/CRR279142/CRR279142.tar,CRX235975,ID-2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350955,Plant sample,4530,Oryza sativa,ID-2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279083,NGDC,2021-06-18,10x genomics,CRR279083.tar,22801459200,ftp://download.big.ac.cn/gsa/CRA004082/CRR279083/CRR279083.tar,CRX235963,Quality control replicate 2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350943,Plant sample,1427524,mixed sample,Quality control replicate 2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279084,NGDC,2021-06-18,10x genomics,CRR279084.tar,29201274880,ftp://download.big.ac.cn/gsa/CRA004082/CRR279084/CRR279084.tar,CRX235963,Quality control replicate 2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350943,Plant sample,1427524,mixed sample,Quality control replicate 2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279085,NGDC,2021-06-18,10x genomics,CRR279085.tar,28073000960,ftp://download.big.ac.cn/gsa/CRA004082/CRR279085/CRR279085.tar,CRX235963,Quality control replicate 2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350943,Plant sample,1427524,mixed sample,Quality control replicate 2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279086,NGDC,2021-06-18,10x genomics,CRR279086.tar,6595942400,ftp://download.big.ac.cn/gsa/CRA004082/CRR279086/CRR279086.tar,CRX235963,Quality control replicate 2,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350943,Plant sample,1427524,mixed sample,Quality control replicate 2,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279147,NGDC,2021-06-18,10x genomics,CRR279147.tar,56774891520,ftp://download.big.ac.cn/gsa/CRA004082/CRR279147/CRR279147.tar,CRX235977,LN-3,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350957,Plant sample,4530,Oryza sativa,LN-3,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279148,NGDC,2021-06-18,10x genomics,CRR279148.tar,41346099200,ftp://download.big.ac.cn/gsa/CRA004082/CRR279148/CRR279148.tar,CRX235977,LN-3,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350957,Plant sample,4530,Oryza sativa,LN-3,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
